year,global_avgtemp,city_avgtemp,toronto_moving_avg
1964,8.41,6.5,7.397
1965,8.53,5.59,7.323
1966,8.6,6.03,7.353
1967,8.7,5.66,7.3135
1968,8.52,6.11,7.3255
1969,8.6,6.03,7.3005
1970,8.7,5.98,7.3105
1971,8.6,6.37,7.296
1972,8.5,5.22,7.25
1973,8.95,7.23,7.3415
1974,8.47,6.01,7.32
1975,8.74,6.75,7.3885
1976,8.35,5.47,7.348
1977,8.85,6.19,7.382
1978,8.69,5.24,7.347
1979,8.73,5.9,7.347
1980,8.98,5.48,7.336
1981,9.17,6.16,7.354
1982,8.64,6.04,7.402
1983,9.03,6.78,7.3835
1984,8.69,6.42,7.415
1985,8.66,6.13,7.38
1986,8.83,6.56,7.4585
1987,8.99,7.46,7.529
1988,9.2,6.56,7.6205
1989,8.92,5.7,7.62
1990,9.23,7.41,7.729
1991,9.18,7.55,7.799
1992,8.84,5.79,7.7965
1993,8.87,5.87,7.743
1994,9.04,5.95,7.737
1995,9.35,6.38,7.784
1996,9.04,5.81,7.757
1997,9.2,6,7.6945
1998,9.52,8.54,7.8095
1999,9.29,7.75,7.9305
2000,9.2,6.67,7.892
2001,9.41,7.76,7.914
2002,9.57,7.48,8.035
2003,9.53,6.02,8.0755
2004,9.32,6.4,8.112
2005,9.7,7.22,8.1715
2006,9.53,7.85,8.298
2007,9.73,7.07,8.378
2008,9.43,6.58,8.2755
2009,9.51,6.28,8.213
2010,9.7,7.77,8.293
2011,9.52,7.3,8.2755
2012,9.51,8.66,8.3315
2013,9.61,8.46,8.4575
